# File created on Fri Aug 14 09:09:59 2026
#
# time         R02m-02         I02m-02         R02m-01         I02m-01         R02m000         I02m000         R02m001         I02m001         R02m002         I02m002         R03m-03         I03m-03         R03m-02         I03m-02         R03m-01         I03m-01         R03m000         I03m000         R03m001         I03m001         R03m002         I03m002         R03m003         I03m003         R04m-04         I04m-04         R04m-03         I04m-03         R04m-02         I04m-02         R04m-01         I04m-01         R04m000         I04m000         R04m001         I04m001         R04m002         I04m002         R04m003         I04m003         R04m004         I04m004         
0              5.6276844e-08   3.4287724e-06   -2.8597944e-08  -2.9832808e-09  6.3400107e-08   2.0635729e-25   -2.8597944e-08  2.9832808e-09   5.6276844e-08   -3.4287724e-06  7.8475948e-08   -9.9129743e-09  8.3427597e-10   4.7421599e-08   1.0644921e-08   -9.0549806e-09  1.298978e-25    3.795516e-09    -1.0644921e-08  -9.0549806e-09  -8.3427597e-10  4.7421599e-08   -7.8475948e-08  -9.9129743e-09  3.0000471e-07   -8.9598997e-09  -1.5558613e-09  5.5415764e-11   -1.7675791e-10  -5.0499751e-08  1.9965886e-09   3.2249855e-09   5.1414384e-07   1.6326809e-25   1.9965886e-09   -3.2249855e-09  -1.7675791e-10  5.0499751e-08   -1.5558613e-09  -5.5415764e-11  3.0000471e-07   8.9598997e-09  
0              8.9819138e-08   4.2491424e-06   -2.2962046e-08  1.2771886e-08   3.4832198e-08   8.6264984e-26   -2.2962046e-08  -1.2771886e-08  8.9819138e-08   -4.2491424e-06  7.4227985e-08   1.7016029e-08   -9.6269765e-10  5.2907806e-08   5.2041908e-08   2.2175349e-08   3.1567401e-26   4.5108329e-09   -5.2041908e-08  2.2175349e-08   9.6269765e-10   5.2907806e-08   -7.4227985e-08  1.7016029e-08   5.8140888e-07   -7.7096235e-09  -1.3033869e-08  1.5016069e-08   -8.3991225e-09  -8.5825697e-08  -1.0911315e-08  -1.0977086e-08  9.3893069e-07   -3.7182846e-25  -1.0911315e-08  1.0977086e-08   -8.3991225e-09  8.5825697e-08   -1.3033869e-08  -1.5016069e-08  5.8140888e-07   7.7096235e-09  
0              1.3796526e-07   5.3989027e-06   -7.2008192e-08  -2.8309534e-10  1.1659754e-07   -4.8794021e-25  -7.2008192e-08  2.8309534e-10   1.3796526e-07   -5.3989027e-06  1.5607548e-07   1.9010601e-08   2.2928991e-09   1.5092861e-07   4.743661e-08    1.0143635e-08   -8.7391378e-25  3.66639e-08     -4.743661e-08   1.0143635e-08   -2.2928991e-09  1.5092861e-07   -1.5607548e-07  1.9010601e-08   9.4558201e-07   -8.5871692e-08  2.3950778e-08   1.3735255e-08   9.1056082e-09   -1.3937212e-07  2.5746242e-08   -2.1622359e-09  1.5545868e-06   -1.2421562e-24  2.5746242e-08   2.1622359e-09   9.1056082e-09   1.3937212e-07   2.3950778e-08   -1.3735255e-08  9.4558201e-07   8.5871692e-08  
0              2.1840881e-07   6.8793246e-06   -3.982566e-09   -1.3180512e-07  6.7125418e-07   -7.9364704e-26  -3.982566e-09   1.3180512e-07   2.1840881e-07   -6.8793246e-06  1.0461456e-07   -3.0431393e-07  4.2145531e-08   -4.8661559e-08  -3.5716276e-07  -2.8005131e-07  1.010212e-24    -2.6964517e-07  3.5716276e-07   -2.8005131e-07  -4.2145531e-08  -4.8661559e-08  -1.0461456e-07  -3.0431393e-07  1.3140628e-07   4.1461947e-07   -2.3711897e-07  -1.2413969e-07  4.0790139e-08   2.1703212e-07   -2.5632966e-07  9.7272718e-08   4.9690717e-07   3.3597477e-25   -2.5632966e-07  -9.7272718e-08  4.0790139e-08   -2.1703212e-07  -2.3711897e-07  1.2413969e-07   1.3140628e-07   -4.1461947e-07 
0              4.3082827e-07   8.7767812e-06   2.4944909e-07   4.1860528e-07   -1.0121806e-06  2.7019714e-24   2.4944909e-07   -4.1860528e-07  4.3082827e-07   -8.7767812e-06  -2.1316347e-07  4.3818744e-07   -1.61254e-08    -1.1686278e-07  6.120661e-07    5.5016832e-07   1.6780175e-24   -1.9992469e-07  -6.120661e-07   5.5016832e-07   1.61254e-08     -1.1686278e-07  2.1316347e-07   4.3818744e-07   4.7346141e-06   3.1573477e-07   -1.8359955e-07  2.0847601e-07   -1.3771391e-07  -2.6978996e-07  -1.9258034e-07  -1.61727e-07    6.8235439e-06   -1.1449252e-24  -1.9258034e-07  1.61727e-07     -1.3771391e-07  2.6978996e-07   -1.8359955e-07  -2.0847601e-07  4.7346141e-06   -3.1573477e-07 
0              6.2414677e-07   1.3058178e-05   -9.8104609e-07  2.4058759e-07   -2.2299392e-07  -4.610098e-24   -9.8104609e-07  -2.4058759e-07  6.2414677e-07   -1.3058178e-05  1.7455455e-06   1.1939195e-06   -2.1328516e-07  2.7112015e-06   1.8641374e-06   7.1232678e-07   -6.3909145e-24  2.6635048e-06   -1.8641374e-06  7.1232678e-07   2.1328516e-07   2.7112015e-06   -1.7455455e-06  1.1939195e-06   1.129167e-05    -4.6905199e-06  1.5833964e-06   5.4395806e-07   -1.5607373e-07  -3.4623592e-06  1.5940407e-06   -6.1867021e-07  1.9410514e-05   -3.4057087e-24  1.5940407e-06   6.1867021e-07   -1.5607373e-07  3.4623592e-06   1.5833964e-06   -5.4395806e-07  1.129167e-05    4.6905199e-06  
0              4.3193212e-07   2.1672207e-05   -1.5534154e-06  -2.2406801e-06  8.3769058e-06   5.615948e-24    -1.5534154e-06  2.2406801e-06   4.3193212e-07   -2.1672207e-05  3.094154e-06    -3.7893705e-06  2.0814716e-07   2.3142198e-06   -2.791826e-06   -3.1829512e-06  -6.163221e-24   2.2059736e-06   2.791826e-06    -3.1829512e-06  -2.0814716e-07  2.3142198e-06   -3.094154e-06   -3.7893705e-06  -1.4923259e-05  -6.3671926e-07  2.1652686e-07   -1.5872654e-06  7.0458009e-07   -2.1551856e-07  3.4681976e-07   7.9236575e-07   -1.9659481e-05  6.0813229e-25   3.4681976e-07   -7.9236575e-07  7.0458009e-07   2.1551856e-07   2.1652686e-07   1.5872654e-06   -1.4923259e-05  6.3671926e-07  
0              1.4400938e-06   1.4938988e-05   2.8754148e-06   8.4533944e-07   -1.4547365e-06  4.1373834e-24   2.8754148e-06   -8.4533944e-07  1.4400938e-06   -1.4938988e-05  -7.0682969e-06  -7.4692031e-07  5.2321801e-07   -1.7267736e-05  -4.491694e-06   4.4781956e-07   -2.2299987e-23  -1.936953e-05   4.491694e-06    4.4781956e-07   -5.2321801e-07  -1.7267736e-05  7.0682969e-06   -7.4692031e-07  -4.7687823e-06  3.1416927e-05   -5.6215314e-06  -7.0092225e-07  -1.3567799e-07  1.7546919e-05   -5.5082422e-06  1.7908691e-06   -2.3669523e-05  -1.9235929e-23  -5.5082422e-06  -1.7908691e-06  -1.3567799e-07  -1.7546919e-05  -5.6215314e-06  7.0092225e-07   -4.7687823e-06  -3.1416927e-05 
1              5.5125954e-08   3.4567507e-06   -2.6161178e-08  -2.9248372e-09  6.1192704e-08   -2.4582553e-25  -2.6161178e-08  2.9248372e-09   5.5125954e-08   -3.4567507e-06  7.5217814e-08   -1.021144e-08   1.387483e-09    4.4550012e-08   9.9967147e-09   -7.9078999e-09  -6.4547618e-25  -1.1339847e-09  -9.9967147e-09  -7.9078999e-09  -1.387483e-09   4.4550012e-08   -7.5217814e-08  -1.021144e-08   3.012229e-07    -2.551294e-09   -4.6928538e-09  -6.4201431e-10  8.7015339e-10   -4.8936022e-08  -2.0114024e-09  3.17969e-09     5.1697317e-07   -1.340105e-25   -2.0114024e-09  -3.17969e-09    8.7015339e-10   4.8936022e-08   -4.6928538e-09  6.4201431e-10   3.012229e-07    2.551294e-09   
1              8.9632489e-08   4.3004008e-06   -4.4885929e-08  1.4352473e-08   4.4671731e-08   -5.1919233e-25  -4.4885929e-08  -1.4352473e-08  8.9632489e-08   -4.3004008e-06  1.0284136e-07   1.8803076e-08   3.5010812e-09   7.1979475e-08   5.4102523e-08   1.7087541e-08   4.9278392e-25   3.3418173e-08   -5.4102523e-08  1.7087541e-08   -3.5010812e-09  7.1979475e-08   -1.0284136e-07  1.8803076e-08   5.7914838e-07   -4.8797897e-08  8.8056958e-09   1.7298612e-08   -7.5208893e-09  -9.9548066e-08  2.6716856e-08   -1.4985214e-08  9.1681075e-07   -1.2047374e-25  2.6716856e-08   1.4985214e-08   -7.5208893e-09  9.9548066e-08   8.8056958e-09   -1.7298612e-08  5.7914838e-07   4.8797897e-08  
